34.69118,-1.966135|34.70118,-1.956135
30.88817,-6.905509|30.89817,-6.8955090000000006
30.89817,-6.925509|30.908170000000002,-6.915509
30.89817,-6.915509|30.908170000000002,-6.905509
30.89817,-6.905509|30.908170000000002,-6.8955090000000006
30.89817,-6.8955090000000006|30.908170000000002,-6.885509000000001
30.440543,-9.548537|30.449543000000002,-9.539537
35.701978,-5.33731|35.711977999999995,-5.327310000000001
35.711977999999995,-5.33731|35.72197799999999,-5.327310000000001
33.939947,-5.04358|33.949946999999995,-5.033580000000001
33.939947,-5.033580000000001|33.949946999999995,-5.023580000000001
33.939947,-5.023580000000001|33.949946999999995,-5.013580000000001
33.939947,-5.003580000000001|33.949946999999995,-4.9935800000000015
33.939947,-4.9935800000000015|33.949946999999995,-4.983580000000002
33.949946999999995,-5.04358|33.95994699999999,-5.033580000000001
33.949946999999995,-5.033580000000001|33.95994699999999,-5.023580000000001
33.949946999999995,-5.023580000000001|33.95994699999999,-5.013580000000001
33.949946999999995,-5.003580000000001|33.95994699999999,-4.9935800000000015
33.949946999999995,-4.9935800000000015|33.95994699999999,-4.983580000000002
33.95994699999999,-5.04358|33.96994699999999,-5.033580000000001
33.95994699999999,-5.033580000000001|33.96994699999999,-5.023580000000001
33.95994699999999,-5.023580000000001|33.96994699999999,-5.013580000000001
33.95994699999999,-5.013580000000001|33.96994699999999,-5.003580000000001
33.95994699999999,-5.003580000000001|33.96994699999999,-4.9935800000000015
33.95994699999999,-4.9935800000000015|33.96994699999999,-4.983580000000002
33.96994699999999,-5.04358|33.97994699999999,-5.033580000000001
33.96994699999999,-5.033580000000001|33.97994699999999,-5.023580000000001
33.96994699999999,-5.023580000000001|33.97994699999999,-5.013580000000001
33.96994699999999,-5.013580000000001|33.97994699999999,-5.003580000000001
33.96994699999999,-5.003580000000001|33.97994699999999,-4.9935800000000015
33.96994699999999,-4.9935800000000015|33.97994699999999,-4.983580000000002
33.97994699999999,-5.07358|33.98994699999999,-5.06358
33.97994699999999,-5.06358|33.98994699999999,-5.05358
33.97994699999999,-5.05358|33.98994699999999,-5.04358
33.97994699999999,-5.04358|33.98994699999999,-5.033580000000001
33.97994699999999,-5.033580000000001|33.98994699999999,-5.023580000000001
33.97994699999999,-5.023580000000001|33.98994699999999,-5.013580000000001
33.97994699999999,-5.013580000000001|33.98994699999999,-5.003580000000001
33.97994699999999,-5.003580000000001|33.98994699999999,-4.9935800000000015
33.97994699999999,-4.9935800000000015|33.98994699999999,-4.983580000000002
33.97994699999999,-4.983580000000002|33.98994699999999,-4.973580000000002
33.98994699999999,-5.07358|33.999946999999985,-5.06358
33.98994699999999,-5.06358|33.999946999999985,-5.05358
33.98994699999999,-5.05358|33.999946999999985,-5.04358
33.98994699999999,-5.04358|33.999946999999985,-5.033580000000001
33.98994699999999,-5.033580000000001|33.999946999999985,-5.023580000000001
33.98994699999999,-5.023580000000001|33.999946999999985,-5.013580000000001
33.98994699999999,-5.013580000000001|33.999946999999985,-5.003580000000001
33.98994699999999,-5.003580000000001|33.999946999999985,-4.9935800000000015
33.98994699999999,-4.9935800000000015|33.999946999999985,-4.983580000000002
33.98994699999999,-4.983580000000002|33.999946999999985,-4.973580000000002
33.98994699999999,-4.973580000000002|33.999946999999985,-4.963580000000002
33.999946999999985,-5.07358|34.00994699999998,-5.06358
33.999946999999985,-5.06358|34.00994699999998,-5.05358
33.999946999999985,-5.05358|34.00994699999998,-5.04358
33.999946999999985,-5.04358|34.00994699999998,-5.033580000000001
33.999946999999985,-5.033580000000001|34.00994699999998,-5.023580000000001
33.999946999999985,-5.023580000000001|34.00994699999998,-5.013580000000001
33.999946999999985,-5.013580000000001|34.00994699999998,-5.003580000000001
33.999946999999985,-5.003580000000001|34.00994699999998,-4.9935800000000015
33.999946999999985,-4.9935800000000015|34.00994699999998,-4.983580000000002
33.999946999999985,-4.983580000000002|34.00994699999998,-4.973580000000002
33.999946999999985,-4.973580000000002|34.00994699999998,-4.963580000000002
33.999946999999985,-4.963580000000002|34.00994699999998,-4.953580000000002
